"Attribute","Arabica","Robusta"
"aroma",7.56958015267176,7.7025
"flavor",7.52380916030534,7.63071428571429
"aftertaste",7.40334351145038,7.55964285714286
"acidity",7.53886259541985,7.65714285714286
"body",7.52346564885496,7.50678571428571
"balance",7.52324427480916,7.54178571428571
"uniformity",9.84090076335878,9.90428571428571
"clean_cup",9.84062595419847,9.92821428571429
"sweetness",9.9108320610687,7.67571428571429
"cupper_points",7.50358778625954,7.76142857142857
