"owner","country_of_origin","mean_total_cup_points"
"katuka development trust ltd","Uganda",83
"ankole coffee producers coop","Uganda",82.625
"nishant gurjer","India",82.52
"ugacof","Uganda",82.39
"andrew hetzel","India",81.64625
"kasozi coffee farmers association","Uganda",81.5
"kawacom uganda ltd","Uganda",80.92
"nitubaasa ltd","Uganda",80.58
"mannya coffee project","Uganda",80.5
"andrew hetzel","United States",79.33
