"country","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","total_cup_points"
"Uganda",7.832,7.758,7.674,7.716,7.801,7.667,10,10,7.708,7.733,81.892
"India",7.7,7.64076923076923,7.59692307692308,7.71076923076923,7.69923076923077,7.69230769230769,9.94846153846154,9.94846153846154,7.69230769230769,7.78153846153846,81.41
"Ecuador",7.625,7.625,7.54,7.665,5.125,6.54,10,10,8.085,8.205,78.415
"United States",7.625,7.415,7.295,7.42,7.46,7.295,9.33,9.665,7.5,7.25,78.25
"Vietnam",6.75,6.67,6.5,6.83,6.92,6.83,9.33,9.33,6.67,7.92,73.75
